title,company,location,stipend,skills
Search Engine Optimization (SEO),Shunya Digital,Work from home,"₹ 3,500 - 5,001 /month","Social Media Marketing, Content Writing, Google Analytics, Search Engine Marketing (SEM), WordPress, Digital Marketing, Google AdWords"
Business Intelligence,Founding Years Learning Solutions Private Limited,"Pune, Mumbai","₹ 15,000 - 25,000 /month","Research and Analytics, Market research, Marketing"
Human Resources (HR),Bharti Axa Life Insurance Company Limited,Mumbai,"₹ 15,000 - 20,000 /month","MS-Office, MS-Excel, Employment engagement, Administrative Support, HR Policies"
Customer Service/Customer Support,Lifestyle International Private Limited,Noida,"₹ 7,000 /month",Retail Management
Data Analytics,VIZON,Work from home,"₹ 10,000 - 17,000 /month","Python, SQL, Data Analytics, MS-Excel, Data Science, Power BI"
Recruitment,V5 Global Services,Delhi,"₹ 7,000 - 13,000 /month","Recruitment, English Proficiency (Spoken)"
Video Editing/Making,Shunya Digital,Work from home,"₹ 5,500 - 7,001 /month","Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making, Adobe After Effects"
Travel Consultant,TripIQ Holiday Marketplace,Noida,"₹ 20,000 - 70,000 /month","Sales, Effective Communication, Travel Itinerary Making, Holiday Package Design"
Social Media Marketing,Imarticus Learning Private Limited,Mumbai,"₹ 12,000 - 15,000 /month","Social Media Marketing, Video Editing, Video Making, Instagram Marketing"
Talent Acquisition,Fitelo,Mohali,"₹ 15,000 - 18,000 /month","Recruitment, MS-Excel, Effective Communication"
Database Building/Management,Family Health Plan Insurance TPA Ltd,Chennai,"₹ 8,000 - 9,500 /month","MS-Office, MS-Excel"
Video Editing/Making,Vaibhav Global Limited,Jaipur,"₹ 12,000 - 14,000 /month","Adobe Photoshop, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making, DaVinci Resolve"
Campus Ambassador,LeapScholar,Jaipur,Performance Based,"Leadership, Event Management, Public Speaking, Interpersonal skills, Effective Communication"
Linux Engineer,VIZON,Dehradun,"₹ 12,000 - 23,000 /month","Cloud Computing, Python, Linux, C Programming, Shell Scripting, C++ Programming, Amazon Web Services (AWS)"
Animation,VIZON,Dehradun,"₹ 14,000 - 26,000 /month","Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Animation, Adobe After Effects, Blender 3D"
Business Strategy,VIZON,Work from home,"₹ 8,000 - 16,000 /month","MS-PowerPoint, Strategy, MS-Excel, Google Docs, Human Resources, English Proficiency (Spoken), English Proficiency (Written)"
Business Strategy,VIZON,Dehradun,"₹ 8,000 - 16,000 /month","MS-PowerPoint, Strategy, MS-Excel, Google Docs, Human Resources, English Proficiency (Spoken), English Proficiency (Written)"
B. Pharmacy,Pulse Pharmaceuticals,Hyderabad,"₹ 15,000 - 20,000 /month","MS-Office, Performance Testing, Performance Appraisal, Research and Analytics, Google Workspace, Effective Communication, Written Communication"
Digital Marketing,Susa Nuts Private Limited,Ludhiana,"₹ 8,000 - 14,000 /month","Social Media Marketing, Search Engine Marketing (SEM), Creative Writing"
Social Media Marketing,Visual Eyes Films,Hyderabad,"₹ 5,000 - 15,000 /month","Social Media Marketing, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), Facebook Marketing, Creative Writing, Instagram Marketing"
Sales and Marketing,Visual Eyes Films,Hyderabad,"₹ 5,000 - 15,000 /month","Social Media Marketing, Digital Marketing, MS-Excel"
Content Writing,Katalyst Software Services Limited,Pune,"₹ 7,000 - 1,00,001 /month","Content Writing, Blogging, Search Engine Optimization (SEO), Creative Writing"
HR (Recruitment),Team Management Services,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Vashi, Vashi Navi Mumbai","₹ 8,000 - 10,000 /month","Recruitment, MS-Word, Cold Calling, MS-Excel, Interpersonal skills, Effective Communication"
Sales Communication,Fashion TV India,Mumbai,"₹ 10,000 - 15,000 /month","MS-Excel, Computer skills, English Proficiency (Spoken), Effective Communication"
2D Motion Graphics Artist,House Sparrow Films,Bangalore,"₹ 12,000 - 15,000 /month","Animation, 2D Animation, Adobe After Effects, Motion Graphics"
Customer Service/Customer Support,Prodian Infotech,Chennai,"₹ 10,000 - 1,20,000 /month","MS-Office, Client Interaction, MS-Excel, English Proficiency (Spoken), Customer Support"
Human Resources (HR),ESAF Small Finance Bank,Nagpur,"₹ 10,000 - 13,000 /month","MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Graphic Design,Europ Assistance,Mumbai,"₹ 7,000 - 15,000 /month","Adobe Creative Suite, Canva"
Full Stack Development,VIZON,Dehradun,"₹ 12,000 - 20,000 /month","HTML, CSS, JavaScript, UI & UX Design, Frontend development, Backend development, Amazon Web Services (AWS)"
Graphic Design,Angel One Limited,"Mumbai, Bangalore","₹ 10,000 - 15,000 /month","Adobe Photoshop, Adobe Creative Suite, Typography, Adobe After Effects, GitHub, Canva, Figma"
Human Resource Business Partner,LeapScholar,Bangalore,"₹ 20,000 /month","Effective Communication, Self-learning"
Digital Marketing,SysTools Software Private Limited,"Delhi, Dwarka","₹ 5,000 - 10,000 /month","Content Writing, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), Creative Writing, Email Marketing, Content Management"
Graphic Design,Epic,Noida,"₹ 5,000 - 10,000 /month","Adobe Photoshop, UI & UX Design, Canva"
Database Building/Management,BrandWagon - The Financial Express,Noida,"₹ 5,000 - 10,000 /month","MS-Office, MS-Excel, Business Research, Data Analysis"
Research – Software Driveline Modeling (Tractors),CNH Industrial,Gurgaon,"₹ 30,000 - 40,000 /month","MATLAB, Simulink, Simulation and Modeling"
Videography,Paracoat Products Limited,Bhiwadi,"₹ 10,000 - 14,000 /month","Videography, Effective Communication"
Customer Service/Customer Support,Justdial Limited,Pune,"₹ 12,000 - 14,500 /month","Client Relationship, English Proficiency (Spoken), Effective Communication, Customer Support"
Open Knowledge Project,IIIT Hyderabad,Work from home,"₹ 6,000 lump sum","Computer skills, Data Analysis, Data Annotation, Python Libraries"
Sales,Angel One (AP),Work from home,"₹ 2,000 - 20,000 /month","Digital Marketing, Marketing, Effective Communication"
Inside Sales,Angel One (AP),Work from home,"₹ 2,000 - 20,000 /month",Effective Communication
Human Resources (HR),Hungama Digital Media Entertainment Private Limited,Mumbai,"₹ 8,000 - 10,000 /month","MS-Office, MS-Word, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Business Development (Sales),Angel One (AP),Work from home,"₹ 2,000 - 20,000 /month",Email Marketing
Business Development (Sales),Angel One (AP),Work from home,"₹ 2,000 - 10,000 /month","Social Media Marketing, Digital Marketing, Stock Trading, Sales, Marketing, Effective Communication"
Marketing,FPT Industrial ( CNH Industrial),"Chennai, Pune, Greater Noida, Delhi, Noida","₹ 4,000 - 7,000 /month","Social Media Marketing, MS-Office, Digital Marketing, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Merchandising,Paracoat Products Limited,"Delhi, Gurgaon, Noida","₹ 10,000 /month","Merchandising, Effective Communication"
Videography,Shunya Digital,Uttarkashi,"₹ 5,000 - 10,000 /month","Adobe Photoshop, Video Editing, Videography, Video Making, Storytelling"
Sales Consultant,Aditya Birla Fashion & Retail Limited (ABFRL),"Navi Mumbai, Panvel Sub-District","₹ 15,001 /month",Sales
Sales and Marketing,CaratLane Trading Private Limited,"Pune, Pimpri-Chinchwad","₹ 12,000 - 15,000 /month","Client Relationship Management (CRM), Sales Support, Retail Management, Business Development, Interpersonal skills, Sales, Marketing"
Financial Research & Content Writing (NBFC Sector),Shunya Digital,Work from home,"₹ 1,000 - 3,000 /month","Content Writing, Search Engine Optimization (SEO), MS-Excel, Financial Analysis, Research and Analytics, Statutory compliances"
Content Research,TEDxGateway,Delhi,"₹ 8,000 - 10,000 /month","Content Writing, Interpersonal skills, Research and Analytics, Effective Communication, Data Analysis, Content Editing"
Marketing,Cosmo Realtors,Gurgaon,"₹ 13,000 - 40,000 /month","MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Marketing"
Digital Marketing,KG Invicta Services,Coimbatore,"₹ 2,000 - 5,000 /month","Digital Marketing, Search Engine Optimization (SEO), English Proficiency (Written), Research and Analytics"
AI Agent Development,Shunya Digital,Delhi,"₹ 10,000 - 28,000 /month","Python, MS-Excel, Automation, React, English Proficiency (Written), Artificial intelligence, APIs"
Business Development (Sales),Shunya Digital,Delhi,"₹ 10,000 - 28,000 /month","Social Media Marketing, Email Marketing, MS-Excel, Client Relationship Management (CRM), Lead Generation, English Proficiency (Spoken), English Proficiency (Written)"
Management Trainee - Student Tele-Counseling,AECC Global,"Delhi, Gurgaon","₹ 15,000 /month","Interpersonal skills, Effective Communication"
Video Editing/Making,Shunya Digital,Delhi,"₹ 6,000 - 12,000 /month","Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making, Adobe After Effects"
Human Resources (HR),Vindhya E Infomedia Private Limited,Bangalore,"₹ 3,000 - 4,000 /month","MS-Office, Effective Communication"
Accounts,Pulse Pharmaceuticals,Hyderabad,"₹ 15,000 - 20,000 /month","MS-Office, Accounting, English Proficiency (Spoken), English Proficiency (Written), Self-learning"
Sales and Marketing,Paracoat Products Limited,Gurgaon,"₹ 10,000 /month","Time Management, Market Analysis, MS-Excel, Lead Generation, Client Relationship, English Proficiency (Spoken), English Proficiency (Written)"
Social Media Marketing,Persistent Networks Private Limited,"Bhubaneswar, Cuttack, Medinipur, Bankura, Kharagpur, Jatni, Jaleswar, Jhargram, Salboni, Egra, Belda, Gopiballabpur, Kantai, Kathi","₹ 3,000 - 6,000 /month","Social Media Marketing, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), Facebook Marketing, Creative Writing, Email Marketing"
Video Editing/Making,Recliners India Private Limited,Gurgaon,"₹ 5,000 - 8,000 /month","Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making, Capcut"
Digital Marketing,Audi Mumbai West,Mumbai,"₹ 15,000 /month","Social Media Marketing, Google Analytics, CorelDRAW, Search Engine Marketing (SEM), Digital Marketing, Accounting, Google AdWords"
Human Resources (HR),PropertyPistol,"Mumbai, Navi Mumbai","₹ 7,000 - 10,000 /month","Recruitment, English Proficiency (Spoken), English Proficiency (Written), HR Operations"
Graphic Design,Cricket Academy of Pathans,Delhi,"₹ 8,000 - 10,000 /month","Adobe Photoshop, CorelDRAW, Adobe Illustrator, Video Editing, Adobe Premiere Pro, UI & UX Design"
Learner Success,USDC Projects India Private Limited,Bangalore,"₹ 8,000 - 10,000 /month","MS-Excel, Effective Communication"
Real Estate Executive,Nisha Homes,Delhi,"₹ 15,000 - 40,000 /month","Coordination, Client Relationship, Market research, Sales, Effective Communication"
Telecaller Cum Admin Executive,T.I.M.E.,Nagpur,"₹ 8,000 - 10,000 /month","MS-Excel, English Proficiency (Written), Hindi Proficiency (Spoken), Interpersonal skills, Internet"
