title,company,location,stipend,skills
Data Entry,Winway Consultancy Services Private Limited,"Jabalpur, Indore, Satna, Bhopal, Gwalior West","₹ 20,000 - 25,000 /month","MS-Office, MS-Excel"
AI Video/Image Generator/Editor,360 Digital Idea,Delhi,"₹ 3,001 - 5,002 /month","AI Video Generation, AI Image Generation, AI Voiceover"
Graphic Design,Turn Turtle,Kolkata,"₹ 10,000 - 15,000 /month","Adobe Photoshop, Canva"
Field Sales,Catalyze Systems Private Limited,"Kolhapur, Pune, Sangli, Thane, Navi Mumbai, Mumbai, Miraj, Pimpri-Chinchwad","₹ 5,001 - 55,000 /month","English Proficiency (Spoken), Hindi Proficiency (Spoken), Marathi Proficiency(Spoken)"
Influencer Marketing,360 Digital Idea,Delhi,"₹ 3,001 - 5,002 /month","Social Media Marketing, Branding, English Proficiency (Spoken), Research and Analytics, Effective Communication"
Business Development (Sales),Oceana Positive,"Telangana, Andhra Pradesh","₹ 8,000 - 10,000 /month","MS-Excel, English Proficiency (Spoken), Sales"
Business Development (Sales),Arhant Solutions,Ahmedabad,"₹ 3,000 - 10,000 /month","Social Media Marketing, Digital Marketing, Client Interaction, Email Marketing, MS-Excel, Lead Generation, English Proficiency (Spoken)"
Influencer Marketing,Career-Domain,Nagpur,"₹ 5,000 /month","Video Editing, Final Cut Pro, Video Making"
Customer Service/Customer Support,AAAMT Verticals Private Limited,Hyderabad,"₹ 12,000 - 16,000 /month","Problem Solving, Client Relationship Management (CRM), English Proficiency (Spoken), Hindi Proficiency (Spoken), Interpersonal skills, Effective Communication, Conflict Management"
Social Media Marketing,Career-Domain,Nagpur,"₹ 5,000 /month","Video Editing, Final Cut Pro, Video Making"
Social Impact & Community Support,Marpu Foundation,Hyderabad,Unpaid,"Team Management, Computer skills, Coordination, Teamwork, Effective Communication, Organizational Development"
Psychology,Conscript HR Advisors Private Limited,Pune,"₹ 2,000 /month",Psychology
Human Resources (HR),Athena School Of Management,Mumbai,"₹ 15,000 - 15,001 /month","English Proficiency (Spoken), English Proficiency (Written)"
Social Media Marketing,Health Total By Anjali Mukerjee,Mumbai,"₹ 10,000 - 15,000 /month","Social Media Marketing, Digital Marketing, Facebook Marketing, Creative Writing, Email Marketing, Instagram Marketing"
Student Volunteer,Marpu Foundation,Hyderabad,Unpaid,"Team Management, Computer skills, Coordination, Teamwork, Effective Communication, Community Management, Organizational Development"
Company Secretary (CS),Niviverse Technologies Private Limited,Work from home,"₹ 7,000 - 15,000 /month","MS-Office, MS-Word, Time Management, Company Law, English Proficiency (Spoken), English Proficiency (Written)"
Lead Generation,Material Intelligence Lab,Vadodara,"₹ 15,000 - 20,000 /month","Digital Marketing, MS-Excel, Copywriting, English Proficiency (Spoken), English Proficiency (Written), Business Development"
Sales and Marketing,Fabapps Lab Pvt Ltd,Dehradun,"₹ 15,000 - 25,000 /month","Public Relations, Interpersonal skills, Effective Communication"
AWS DevOps Engineer,Arhant Solutions,Ahmedabad,"₹ 3,000 - 10,000 /month","Linux, Docker, CI/CD, Amazon EC2, Amazon RDS, Amazon Route 53"
Chartered Accountancy (CA),Niviverse Technologies Private Limited,Work from home,"₹ 18,000 /month","Accounting, Tally, MS-Excel, Income Tax, GST"
.NET Development,COEPD (Center Of Excellence For Professional Development),Hyderabad,"₹ 5,000 - 6,500 /month","CSS, C#, ASP.NET, SQL, MS SQL Server, Model View Controller(MVC)"
Marketing,Brilliant Approach Private Limited,Ahmedabad,"₹ 7,000 - 10,000 /month","MS-Office, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Law/Legal,Mr n Mrs Pet,Jaipur,"₹ 10,000 - 15,000 /month","MS-Office, Legal Research, Legal Drafting, English Proficiency (Spoken), English Proficiency (Written), Legal Writing"
Social Media & ORM,Internshala,Gurgaon,"₹ 18,000 /month","Content Writing, ORM, English Proficiency (Written), Effective Communication, Community Management"
Sales and Marketing,Hinisys Software,Chennai,"₹ 5,000 - 8,000 /month","Digital Advertising, Hindi Proficiency (Spoken)"
Fashion Design,UCTC - Universal Classic Tshirts Company,Pune,"₹ 10,000 - 12,000 /month","Market Analysis, Fashion Designing, Coordination, Product Development, Procurement, Pattern making"
Volunteering,Conscript HR Advisors Private Limited,Pune,"₹ 2,000 /month","English Proficiency (Spoken), Hindi Proficiency (Spoken)"
Artificial Intelligence (AI),Arhant Solutions,Ahmedabad,"₹ 3,000 - 10,000 /month","Python, Machine Learning, Computer Vision, Neural Networks, Artificial intelligence"
Junior HR,The Affordable Organic Store,"Hyderabad, Kompally","₹ 10,000 - 15,000 /month","MS-Office, Time Management, MS-Excel, Coordination, English Proficiency (Spoken), English Proficiency (Written), Effective Communication"
Business Strategy,Conscript HR Advisors Private Limited,Work from home,"₹ 1,000 /month",Research and Analytics
Social Media Content Creator,360 Digital Idea,Delhi,"₹ 5,001 - 10,002 /month","Content Marketing, Effective Communication"
Business Development (Sales),Attento Technologies Pvt Ltd,"Pune, Pimpri-Chinchwad","₹ 10,001 - 15,000 /month","Field Work, Business Research, English Proficiency (Spoken), English Proficiency (Written), Business Development, Marathi Proficiency(Spoken), Interpersonal skills"
Human Resources (HR),Capes India,Mumbai,"₹ 5,000 - 12,000 /month","Recruitment, English Proficiency (Spoken), English Proficiency (Written), Effective Communication"
Social Media & Content Manager,Bizzaro,Delhi,"₹ 10,000 - 15,000 /month","Social Media Marketing, Content Management, Research and Analytics, Marketing, Marketing Campaigns"
Screenplay Development,P Se Picture,Mumbai,"₹ 15,000 - 20,000 /month","Creative Writing, English Proficiency (Written)"
Telecalling(Female Only),MYCASHFLOW,Nagpur,"₹ 11,500 - 17,000 /month","MS-Office, MS-Excel, Client Relationship Management (CRM), Effective Communication"
Tally Accountant,Expertbells Consulting Private Limited,Agra,"₹ 5,000 - 20,000 /month","Accounting, Tally, Income Tax, GST"
Telecalling,Vikash Tech Solution,"Ahmedabad, Vadodara, Bharuch","₹ 6,500 - 12,000 /month","Creative Thinking, MS-Excel, Effective Communication"
Mobile App Development,Arhant Solutions,Ahmedabad,"₹ 3,000 - 10,000 /month","Git, Flutter, Postman"
Data Entry,OMNIDYA TECH LLP,Ahmedabad,"₹ 10,000 - 12,500 /month","MS-Office, English Proficiency (Spoken), English Proficiency (Written)"
Database/System Architect,Arhant Solutions,Ahmedabad,"₹ 3,000 - 10,000 /month","MySQL, Data Structures, PostgreSQL, Database Management System (DBMS)"
Hardware/Firmware Design,RamsonTek IntelliSystem LLP,Bangalore,"₹ 10,000 - 15,000 /month","PCB Design, OrCAD, PCB Soldering, LTSpice, Digital Circuits, Analog Circuits, Simulation and Modeling"
Agriculture,The Affordable Organic Store,"Hyderabad, Kompally","₹ 7,000 - 8,000 /month","Negotiation, English Proficiency (Spoken), Hindi Proficiency (Spoken), Effective Communication"
Video Editing/Making,Manan Patodia,Mumbai,"₹ 15,000 - 21,000 /month","Video Editing, Adobe Premiere Pro, AI Image Generation"
Front End Development,Arhant Solutions,Ahmedabad,"₹ 3,000 - 10,000 /month","HTML, CSS, JavaScript, Frontend development, Vue.js, Tailwind CSS, Next.js"
Backend Development,Arhant Solutions,Ahmedabad,"₹ 3,000 - 10,000 /month","Python, Git, Node.js, Laravel, REST API, Postman"
Content and Social Media Marketing,Sammyukk Clothing Pvt Ltd,"Delhi, Noida","₹ 3,000 /month","Social Media Marketing, Video Editing, Influencer Marketing, Video Marketing"
Instagram Reels Editor,Career-Domain,Nagpur,"₹ 2,000 - 5,000 /month","Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making"
Social Media Video Editor,Career-Domain,Nagpur,"₹ 2,000 - 5,000 /month","Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making"
Video Content Creator,Career-Domain,Nagpur,"₹ 2,000 - 5,000 /month","Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making"
Business Development (Sales),Next Step Talents Private Limited,"Kolkata, Greater Noida, Noida, New Town","₹ 28,000 - 55,000 /month","Salesforce, MS-Excel, English Proficiency (Spoken)"
CA Articleship,"Agrawal Iyer And Associates LLP, Chartered Accountants",Mumbai,"₹ 10,000 /month","MS-Office, Time Management, Accounting, Problem Solving, English Proficiency (Written), Effective Communication"
Corporate Sales,Shikharpe Private Limited,"Gurgaon, Noida","₹ 20,000 - 30,000 /month","Social Media Marketing, MS-Office, Digital Marketing, Email Marketing, MS-Excel, Client Relationship Management (CRM), Sales Management"
HR Trainee,Humanhire Corp,Jaipur,"₹ 5,000 - 7,500 /month","English Proficiency (Spoken), Effective Communication"
Talent Acquisition,Humanhire Corp,Jaipur,"₹ 8,000 - 11,500 /month",English Proficiency (Spoken)
HR Assistant,Humanhire Corp,Jaipur,"₹ 8,000 - 11,000 /month",English Proficiency (Spoken)
Graphic Design,TechXR Innovations Private Limited,Bhopal,"₹ 15,000 - 18,000 /month","Adobe Photoshop, Adobe Illustrator, Adobe Creative Suite"
Project (Operations),Sentriscope Data Intelligence Private Limited,Lucknow,"₹ 8,000 - 10,000 /month","Project Management, MS-Word, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Market research"
Inside Sales,Aekot Consulting And Technologies Private Limited,Bangalore,"₹ 20,000 /month","Cold Calling, Lead Generation, Business Development, Sales"
Video Editing/Making,ZENFLOW FINANCE PRIVATE LIMITED,Work from home,"₹ 4,000 /month","Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making"
Social Media Marketing,Next Step Talents Private Limited,"Kolkata, Noida, New Town","₹ 23,000 - 55,000 /month","Social Media Marketing, Search Engine Optimization (SEO)"
Video Editing/Making,Dr. Veda,Delhi,"₹ 5,000 - 10,000 /month","Video Editing, Adobe Premiere Pro, Video Making"
Business Development (Sales),Aawas Yojana,Dehradun,"₹ 18,000 - 30,000 /month","English Proficiency (Spoken), Hindi Proficiency (Spoken), Interpersonal skills, Effective Communication"
Field Sales,Artify,Pune,"₹ 7,000 - 15,000 /month","Client Relationship, Sales, Field Sales"
Social Media & Content Creation,Innow8,Mohali,"₹ 8,000 - 12,000 /month","Social Media Marketing, Content Writing, Video Editing, Videography, Digital Marketing, Photography, Canva"
Human Resources (HR),Talent Corner HR Services,Mumbai,"₹ 5,000 /month","Problem Solving, Adaptability, Interpersonal skills, Effective Communication, Resume Screening"
Human Resources (HR),Solastaa Hair And Skin Private Limited,"Thane, Kalyan, Ambernath","₹ 10,000 - 15,000 /month","MS-Office, MS-Word, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Dietetics/Nutrition,Wo Health Pvt Ltd,Delhi,"₹ 15,000 - 35,000 /month","Coordination, English Proficiency (Written), Dietetics/Nutrition, Sales, Effective Communication"
Business Research,Ambrosia Botanical,Gurgaon,"₹ 12,000 /month","MS-Office, Report Writing, English Proficiency (Spoken), Research and Analytics"
Loan Officer,STARTUP GROWW CONSULTING SERVICES PRIVATE LIMITED,Delhi,"₹ 3,000 - 5,000 /month","Coordination, Data entry, Effective Communication"
E-commerce & Marketplace Management,Tesseract,Mumbai,"₹ 10,000 - 11,000 /month","MS-Word, MS-PowerPoint, E-commerce, MS-Excel, Problem Solving, Coordination, English Proficiency (Spoken)"
Trainee - Marketing & BD,DOTIX,Noida,"₹ 27,000 /month","Digital Marketing, Google AdWords, Market Analysis, Search Engine Optimization (SEO), Business Development, Market research, Sales"
Marketing,Rajagriham Estates Pvt Ltd,Bangalore,"₹ 3,000 - 5,000 /month","Social Media Marketing, Email Marketing"
Product Operations Trainee,DOTIX,Noida,"₹ 10,000 - 15,000 /month","Java, MySQL, MS-Excel, Power BI, Data Analysis, ChatGPT"
Hotel Management (Service),Shashank Chaudhary,Greater Noida,"₹ 2,000 - 5,000 /month","Hospitality, Effective Communication, Food Safety"
HR & Admin Executive,Govshop India Private Limited,Delhi,"₹ 15,000 - 20,000 /month","Coordination, English Proficiency (Spoken), English Proficiency (Written), Effective Communication"
Video Editing/Making,Career-Domain,Nagpur,"₹ 2,000 - 5,000 /month","Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making"
Inside Sales Executive,SkillOrbit,Bangalore,"₹ 18,000 - 20,000 /month","Time Management, Multitasking, MS-Excel, Coordination, Interpersonal skills, Effective Communication, Collaboration"
Sales Growth Associate (Trainee),FitSpark India Private Limited,Delhi,"₹ 7,000 - 14,000 /month","MS-Excel, Sales Support, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Effective Communication, Email Management"
Business Consultant,AIT Global India Private Limited,Chennai,"₹ 35,000 - 39,000 /month","Presentation skills, Interviewing, Report Writing, Consulting, Requirements Gathering"
Quality Control (food),Farmdidi,Pune,"₹ 8,000 - 10,000 /month",Quality Assurance/Quality Control (QA/QC)
Sales,Fission Infotech,Hyderabad,"₹ 7,000 - 13,000 /month","Cold Calling, Interpersonal skills, Effective Communication"
Placement Coordinator,Internshala,Gurgaon,"₹ 18,000 /month","MS-Word, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Subject Matter Expert (Civil Engineering ),Skorokryl Solutions Private Limited,Jaipur,"₹ 10,000 - 15,000 /month","AutoCAD, Autodesk Revit, STAAD.Pro, English Proficiency (Spoken), English Proficiency (Written)"
Video Editing/Making,Ambrosia Botanical,"Delhi, Gurgaon","₹ 12,000 /month","Adobe Photoshop, Video Editing"
Graphic And Product Designer (3 Months - Contract),Janapada Udayan Welfare Foundation,Hosur,"₹ 12,000 - 15,000 /month","Adobe Photoshop, Adobe Illustrator, Video Editing, Product Development, Canva, Figma"
Digital Marketing,American Hairline,Mumbai,"₹ 3,000 - 10,000 /month","Social Media Marketing, Digital Marketing, Search Engine Optimization (SEO), Facebook Marketing, Instagram Marketing"
Influencer Marketing,Dr. Veda,Delhi,"₹ 5,000 - 10,000 /month",Influencer Marketing
Search Engine Optimization (SEO),Tidal7 Asia - A J7 Agency,Mumbai,"₹ 12,000 - 20,000 /month","Google Analytics, Search Engine Optimization (SEO), English Proficiency (Written), Google Tag Manager, Google Keyword Planner, Google Search Console"
Influencer Marketing & Growth Trainee,Digital Web Solutions,Bangalore,"₹ 10,000 /month","Social Media Marketing, Digital Marketing, Time Management, Multitasking, Client Relationship, Effective Communication"
Mechanical Design,Greenleap Robotics Private Limited,Ghaziabad,"₹ 14,000 /month","SolidWorks, Production Engineering, Design Thinking, Mechanical & Electrical Product Design"
Finance,ZENFLOW FINANCE PRIVATE LIMITED,Work from home,"₹ 3,000 /month","MS-Office, Accounting, Tally, MS-Excel, Financial Modeling, English Proficiency (Spoken), English Proficiency (Written)"
Business Development (Sales),Ramyoz,Noida,"₹ 20,000 /month","English Proficiency (Spoken), Effective Communication"
Sales and Marketing,Hbeonlabs Technologies  Private Limited,Noida,"₹ 10,000 - 12,000 /month",Technical Support
Backend Development,Next Step Talents Private Limited,"Kolkata, New Town","₹ 13,000 - 15,000 /month","PHP, HTML, Node.js"
Customer Service/Customer Support,InstaWeb Labs Private Limited,Mumbai,"₹ 11,000 - 35,000 /month","Technical Support, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Effective Communication, Customer Support"
Graphic Design,International Institute Of Data Science & Technology,Mumbai,"₹ 10,000 - 20,000 /month","Adobe Photoshop, CorelDRAW, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Adobe Creative Suite"
Law/Legal,Rajagriham Estates Pvt Ltd,Bangalore,Unpaid,"MS-Word, Legal Research, Legal Drafting, Legal Writing"
Videographer,Aureva Wealth Advisors Private Limited,Mumbai,"₹ 8,000 - 10,000 /month","Video Editing, Videography, Video Making"
Human Resource Operation,Heterize Infotech Private Limited,Indore,"₹ 6,000 - 9,000 /month","MS-Excel, Problem Solving, English Proficiency (Spoken), Effective Communication"
Educational Consultant,Proedge Skill Development & Edutech Private Limited,Bangalore,"₹ 25,000 - 40,000 /month","Client Interaction, Client Relationship, Effective Communication"
Human Resources (HR),InstaWeb Labs Private Limited,Mumbai,"₹ 17,000 - 45,000 /month","Recruitment, Market Analysis, English Proficiency (Spoken), English Proficiency (Written), Market research, Effective Communication"
Human Resources (HR),Reliable Allied Services,"Delhi, Ghaziabad, Greater Noida, Noida","₹ 6,500 - 12,000 /month","MS-Word, MS-Excel, English Proficiency (Spoken), Effective Communication"
Talent Acquisition,Grexa AI Private Limited,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Vashi, Panvel","₹ 10,000 - 15,000 /month","Recruitment, Human Resources, English Proficiency (Spoken), English Proficiency (Written), Effective Communication"
Business Development (Sales),InstaWeb Labs Private Limited,Mumbai,"₹ 8,000 - 35,000 /month","Inside Sales, Sales"
Recruitment,EarlyJobs,Work from home,Unpaid,"MS-Office, Recruitment, English Proficiency (Spoken)"
Business Development (Sales),Indian School Of Success,Ahmedabad,"₹ 15,000 - 25,000 /month","English Proficiency (Spoken), English Proficiency (Written)"
SEO,Ferventers Techworks Private Limited,Chennai,"₹ 5,000 - 5,500 /month","Digital Marketing, Search Engine Optimization (SEO), English Proficiency (Spoken), English Proficiency (Written)"
Social Media Marketing,InstaWeb Labs Private Limited,Mumbai,"₹ 10,000 - 15,000 /month","Social Media Marketing, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), Facebook Marketing, Creative Writing, English Proficiency (Spoken)"
Human Resources (HR),Grexa AI Private Limited,"Thane, Navi Mumbai, Mumbai, Panvel","₹ 10,000 - 20,000 /month","MS-Office, English Proficiency (Spoken), English Proficiency (Written), Employment engagement, Administrative Support"
Business Strategy,Career-Domain,Nagpur,"₹ 5,000 /month","MS-PowerPoint, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Tech News Editor (WordPress),Abhinava Innovations,Kolkata,"₹ 5,000 /month","CMS (Content Management System), Proofreading, English Proficiency (Written), Content Editing"
Hotel Management,SkillLevel,Work from home,"₹ 10,000 - 13,000 /month","Entrepreneurship, Culinary Arts, Data Analysis"
Digital Marketing,Ramyoz,Noida,"₹ 10,000 /month","Video Editing, Adobe Premiere Pro, Capcut"
AI Agent Development,"TZURONI LTD. (Kefar Sava, Israel)",Work from home,"₹ 5,000 - 7,000 /month","Python, Microsoft Azure, Stock Trading, LLMOps, LLM evaluation"
Amazon & Flipkart E-Commerce Executive,VyomBox,Greater Noida West,"₹ 12,500 - 18,000 /month","Digital Marketing, Computer skills, Digital Advertising, Internet"
Videgraphy & Video Editor,Cocoma Digital Private Limited,Mumbai,"₹ 8,000 - 10,000 /month","Creativity, Video Editing, Adobe Premiere Pro, Videography, Attention to Detail, Storytelling, Capcut"
Operations Executive - Telugu,Astrotalk,Work from home,"₹ 15,000 - 20,000 /month","Tamil Proficiency (Spoken), Tamil Proficiency (Written), Kannada Proficiency (Spoken), Kannada Proficiency (Written), Malayalam Proficiency (Spoken), Malayalam Proficiency (Written)"
Computer Vision,Euphotic Labs Private Limited,Bangalore,"₹ 15,000 - 25,000 /month","Python, Computer Vision, Deep Learning"
Digital Marketing,MJVS FASHION SERVICES PVT LTD,Mumbai,"₹ 3,000 - 5,000 /month",Social Media Marketing
Lead Generation,Group Futurista,Work from home,"₹ 6,000 - 8,000 /month","English Proficiency (Spoken), English Proficiency (Written), Sales"
Event Management,United Consultancy & Services,Surat,"₹ 17,000 - 62,000 /month","MS-Office, Event Management, MS-PowerPoint, Networking, Vendor Management, MS-Excel, English Proficiency (Spoken)"
Graphic Design,FirstSportz,Work from home,"₹ 6,000 /month","Adobe Photoshop, CorelDRAW, Adobe Premiere Pro"
E-Commerce Business Management,RuralEquip PVT Ltd,Bangalore,"₹ 5,500 - 20,000 /month","Market Analysis, Inventory Management, Procurement, Market research, Marketing Automation, Order Management"
Volunteering,Pawzz,Work from home,"₹ 1,500 - 15,000 /month","Time Management, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Sales, Marketing, Effective Communication"
E-commerce Operations and Calling Executive,M Z S ENTERPRISES,Delhi,"₹ 7,000 - 11,000 /month","Critical thinking, MS-Excel, Problem Solving, English Proficiency (Spoken), Hindi Proficiency (Spoken)"
Digital Marketing,Tidal7 Asia - A J7 Agency,Mumbai,"₹ 6,000 - 10,000 /month","Google Analytics, Search Engine Marketing (SEM), Google AdWords, Facebook Ads, Instagram Ads, Google Tag Manager, LinkedIn Ads"
Sales and Marketing,Vikash Tech Solution,"Bhavnagar, Vadodara, Bharuch, Ahemdabad Kasora","₹ 13,000 - 17,000 /month","MS-Excel, Interpersonal skills, Effective Communication"
UI/UX Design,Circle Health,Bangalore,"₹ 25,000 - 30,000 /month","User Interface (UI) Development, Wireframing, UI & UX Design, Figma"
Lead Generation,Vizzard,Work from home,"₹ 6,000 - 20,000 /month","Google Docs, Lead Generation, English Proficiency (Spoken), English Proficiency (Written), Sales, Effective Communication"
Social Outreach,NayePankh Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Social Media Marketing, Negotiation, MS-Word, Email Marketing, MS-Excel, Computer skills, Business Analysis"
Field Sales,Aggarwal Travel Associates Private Limited,Work from home,"₹ 5,001 - 40,000 /month","English Proficiency (Spoken), Hindi Proficiency (Spoken)"
Business Consultant,NayePankh Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Market Analysis, MS-Excel, Business Analysis, Advanced Excel, Business Research, Client Relationship, English Proficiency (Spoken)"
Semi Qualified Company Secretary,STARTUP GROWW CONSULTING SERVICES PRIVATE LIMITED,Delhi,"₹ 25,000 - 35,000 /month","MS-Office, Problem Solving, Teamwork, Effective Communication"
Content Writing,Aarohan Agri Products PVT.LTD,Bhopal,"₹ 5,000 - 6,000 /month","Blogging, English Proficiency (Written), Hindi Proficiency (Written), Research and Analytics"
Receptionist,Kayakriti Plastic Sugery And Dental Centre,Lucknow,"₹ 8,000 - 10,000 /month","MS-Office, MS-Word, MS-Excel, Computer skills, Effective Communication, Document Management"
Business Development (Sales),Evavo Wellness & Solutions LLP,Mumbai,"₹ 20,000 - 30,000 /month","Social Media Marketing, Digital Marketing, Email Marketing, B2B Sales, English Proficiency (Written)"
1 Week Fundraising,NayePankh Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Social Media Marketing, Negotiation, Time Management, Networking, Cold Calling, Lead Generation, Advanced Excel"
Curriculum Development,STEMpedia,Ahmedabad,"₹ 10,000 - 15,000 /month","Content Writing, Python, Effective Communication, Curriculum Development"
E-commerce Executive,Paras Paper Mart,Vadodara,"₹ 11,000 - 16,000 /month",E-commerce
Video Presenter/Anchor (YouTube & Instagram),Kinder Pandas Playschool,"Chandigarh, Mohali, Pinjore, Panchkula","₹ 8,000 - 30,000 /month","Public Speaking, Anchoring, Effective Communication"
Business Development (Sales),Corevia Services Pvt Ltd.,Jaipur,"₹ 2,500 - 10,000 /month",Effective Communication
Accountant,EMIAC Technologies,Gopalpura,"₹ 8,000 - 10,000 /month","Tally, MS-Excel, Accounting Software, Zoho Books"
Digital Marketing,Paras Paper Mart,Vadodara,"₹ 11,000 - 16,000 /month","Digital Marketing, E-commerce"
Marketing,Cynergi,Mumbai,"₹ 5,000 /month","Social Media Marketing, Digital Marketing, Email Marketing"
Real Estate Tech Investments,HDFC Capital Advisors Limited,Gandhinagar,"₹ 15,000 - 25,000 /month","MS-Office, MS-Word, MS-PowerPoint, MS-Excel"
Content Strategist + Executor (CapCut Pro),CALIN,Gurgaon,"₹ 18,000 - 20,000 /month","Social Media Marketing, Content Writing, Adobe Photoshop, Research and Analytics, Capcut, Content Editing"
Motion Graphics,Magblack,Work from home,"₹ 9,000 - 17,000 /month","Adobe Photoshop, Video Editing, Adobe Premiere Pro, Video Making, Animation, Adobe After Effects"
Founders Office - Community Growth,Kitchen & Gupshup,Guwahati,"₹ 8,000 - 10,000 /month","Project Management, Strategy, Interpersonal skills, Effective Communication, Community Management"
Recruitment Consultant,ICS Consultancy Services,Bangalore,"₹ 14,000 - 21,000 lump sum","MS-Office, Recruitment, MS-Excel, English Proficiency (Spoken)"
Law/Legal,Rajagriham Estates Pvt Ltd,Bangalore,"₹ 3,000 - 5,000 /month","MS-Word, Legal Research, Legal Drafting, English Proficiency (Spoken), English Proficiency (Written), Legal Writing"
Content Writing,Fission Infotech,Hyderabad,"₹ 5,000 - 10,000 /month","Content Writing, Blogging, Digital Marketing, Search Engine Optimization (SEO), Creative Writing, Storytelling, English Proficiency (Spoken)"
Content Creator,TG Levels Private Limited,Navi Mumbai,"₹ 5,000 - 8,000 /month","Content Writing, Finance, Market Analysis, Content Marketing, Stock Trading"
Product Design (Accessories),The Souled Store,Mumbai,"₹ 9,000 - 10,000 /month","Adobe Photoshop, Adobe Illustrator"
Customer Support,TechXR Innovations Private Limited,Bhopal,"₹ 12,000 - 16,000 /month","Interpersonal skills, Effective Communication"
Business Development (Sales),Innow8,"Chandigarh, Mohali, Punjab","₹ 8,000 - 12,000 /month","Digital Marketing, Email Marketing, MS-Excel, Client Relationship Management (CRM), Lead Generation, English Proficiency (Spoken), English Proficiency (Written)"
Inside Sales,Maxleben Advisory,Mohali,"₹ 7,000 - 12,000 /month","Client Interaction, Coordination, Teamwork, Effective Communication"
Recruitment,Ikamate HR India Private Limited,Ahmedabad,"₹ 5,000 - 15,000 /month","MS-Office, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Data Entry,Jano.health,Cuttack,"₹ 10,000 /month","Data entry, Advanced Excel, Odia Proficiency(Written), Odia Proficiency(Spoken), Interpersonal skills, Clinical Data Management"
Teaching,Advaitam Child Enrichment And Daycare Centre,Bangalore,"₹ 10,000 /month","Creative Writing, Teaching, English Proficiency (Spoken), English Proficiency (Written)"
Mechatronics,SkillLevel,Work from home,"₹ 12,000 - 15,000 /month","AutoCAD, Python, SolidWorks, Robotics, Raspberry Pi, Embedded Systems, Arduino"
Business Development (Sales),Highway Delite,Guwahati,"₹ 6,000 - 6,001 /month","Social Media Marketing, Digital Marketing, MS-Excel, Inside Sales, English Proficiency (Written), Sales Strategy"
Content and Social Media Marketing,1 Stop Cine Digital Private Limited,Mumbai,"₹ 6,000 - 6,001 /month","Video Editing, Marketing Strategy, Content Editing"
Inside Sales,Jungleworks,"Chandigarh, Ludhiana, Phagwara, Mohali, Zirakpur, Panchkula, Jammu","₹ 13,000 - 15,000 /month",Sales
Telecalling,AMSA,Nagpur,"₹ 2,000 - 5,000 /month","English Proficiency (Spoken), Hindi Proficiency (Spoken), Marathi Proficiency(Spoken), Sales, Effective Communication"
Social Media Marketing,Simtrak,Kolkata,"₹ 4,000 /month","Social Media Marketing, Digital Marketing, Canva"
Social Media Marketing,Nukkad Cafe,Pune,"₹ 8,000 - 12,000 /month","Social Media Marketing, Creative Writing, English Proficiency (Written), Instagram Marketing"
Educational Consultant,Digital Reach,Dehradun,"₹ 7,000 - 9,000 /month","MS-Word, MS-Excel, Client Relationship Management (CRM), Counseling, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills"
Operations,R.G.J.DASS,Secunderabad,"₹ 10,000 - 10,001 /month","MS-Word, Accounting, MS-Excel, Data entry, Inventory Management, English Proficiency (Written)"
Automation Testing,InstaWeb Labs Private Limited,Mumbai,"₹ 10,000 - 15,000 /month","JavaScript, Python, Selenium, Software Testing, Appium"
Business Development (Female),MiM-Essay,Delhi,"₹ 15,000 /month","Client Relationship Management (CRM), Lead Generation, LinkedIn Marketing, English Proficiency (Spoken), English Proficiency (Written), Sales Strategy"
Product Management,InstaWeb Labs Private Limited,Mumbai,"₹ 10,000 - 15,000 /month","Product Management, Production Engineering, English Proficiency (Spoken), Product Lifecycle Management(PLM), Product Strategy"
Graphic Design,Digital Heroes,Lucknow,"₹ 20,000 - 25,000 /month","Adobe Photoshop, CorelDRAW, Adobe Illustrator, Video Editing, Adobe Premiere Pro"
